"id","bldgtype","bldgtype_id"
150,"Single-family Detached",4
1191,"Two-family Conversion; originally built as one-family dwelling",3
1040,"Townhouse End Unit",5
856,"Single-family Detached",4
152,"Single-family Detached",4
214,"Single-family Detached",4
837,"Single-family Detached",4
485,"Single-family Detached",4
282,"Single-family Detached",4
374,"Single-family Detached",4
1008,"Townhouse End Unit",5
399,"Single-family Detached",4
498,"Single-family Detached",4
325,"Single-family Detached",4
1001,"Single-family Detached",4
183,"Single-family Detached",4
1392,"Duplex",2
1100,"Single-family Detached",4
1069,"Townhouse End Unit",5
53,"Duplex",2
1035,"Single-family Detached",4
503,"Single-family Detached",4
918,"Single-family Detached",4
312,"Single-family Detached",4
1218,"Single-family Detached",4
824,"Single-family Detached",4
739,"Duplex",2
445,"Single-family Detached",4
1417,"Two-family Conversion; originally built as one-family dwelling",3
126,"Two-family Conversion; originally built as one-family dwelling",3
1406,"Townhouse End Unit",5
963,"Townhouse End Unit",5
695,"Single-family Detached",4
1177,"Single-family Detached",4
1154,"Single-family Detached",4
1053,"Single-family Detached",4
357,"Single-family Detached",4
1302,"Single-family Detached",4
1122,"Single-family Detached",4
630,"Single-family Detached",4
364,"Townhouse Inside Unit",1
1084,"Single-family Detached",4
1413,"Duplex",2
1017,"Single-family Detached",4
388,"Single-family Detached",4
1243,"Single-family Detached",4
313,"Two-family Conversion; originally built as one-family dwelling",3
1420,"Single-family Detached",4
838,"Townhouse Inside Unit",1
337,"Single-family Detached",4
52,"Single-family Detached",4
1078,"Single-family Detached",4
574,"Single-family Detached",4
436,"Single-family Detached",4
772,"Single-family Detached",4
1305,"Townhouse End Unit",5
61,"Single-family Detached",4
1315,"Single-family Detached",4
920,"Single-family Detached",4
151,"Single-family Detached",4
1106,"Single-family Detached",4
738,"Single-family Detached",4
350,"Single-family Detached",4
339,"Single-family Detached",4
441,"Single-family Detached",4
1209,"Single-family Detached",4
387,"Single-family Detached",4
640,"Townhouse End Unit",5
243,"Single-family Detached",4
992,"Single-family Detached",4
978,"Townhouse End Unit",5
765,"Townhouse End Unit",5
624,"Townhouse End Unit",5
443,"Single-family Detached",4
257,"Single-family Detached",4
1428,"Single-family Detached",4
737,"Duplex",2
847,"Single-family Detached",4
216,"Single-family Detached",4
816,"Single-family Detached",4
44,"Single-family Detached",4
1369,"Townhouse End Unit",5
1102,"Single-family Detached",4
1308,"Single-family Detached",4
825,"Single-family Detached",4
678,"Single-family Detached",4
86,"Single-family Detached",4
726,"Single-family Detached",4
173,"Townhouse End Unit",5
1105,"Townhouse End Unit",5
1002,"Single-family Detached",4
711,"Single-family Detached",4
637,"Single-family Detached",4
940,"Single-family Detached",4
1175,"Single-family Detached",4
385,"Single-family Detached",4
275,"Single-family Detached",4
240,"Single-family Detached",4
1075,"Single-family Detached",4
903,"Single-family Detached",4
801,"Single-family Detached",4
252,"Townhouse End Unit",5
168,"Single-family Detached",4
661,"Single-family Detached",4
228,"Townhouse Inside Unit",1
844,"Duplex",2
1092,"Townhouse Inside Unit",1
1317,"Single-family Detached",4
548,"Single-family Detached",4
393,"Single-family Detached",4
1086,"Single-family Detached",4
9,"Single-family Detached",4
868,"Single-family Detached",4
511,"Single-family Detached",4
362,"Single-family Detached",4
1270,"Single-family Detached",4
49,"Two-family Conversion; originally built as one-family dwelling",3
1282,"Single-family Detached",4
712,"Single-family Detached",4
162,"Single-family Detached",4
578,"Single-family Detached",4
179,"Single-family Detached",4
792,"Single-family Detached",4
613,"Single-family Detached",4
291,"Single-family Detached",4
871,"Single-family Detached",4
999,"Single-family Detached",4
717,"Single-family Detached",4
733,"Single-family Detached",4
1187,"Two-family Conversion; originally built as one-family dwelling",3
1052,"Single-family Detached",4
973,"Townhouse End Unit",5
1129,"Single-family Detached",4
17,"Single-family Detached",4
1242,"Single-family Detached",4
735,"Single-family Detached",4
849,"Single-family Detached",4
144,"Single-family Detached",4
1398,"Single-family Detached",4
1264,"Single-family Detached",4
1292,"Townhouse Inside Unit",1
986,"Two-family Conversion; originally built as one-family dwelling",3
1037,"Single-family Detached",4
648,"Single-family Detached",4
522,"Single-family Detached",4
137,"Single-family Detached",4
993,"Single-family Detached",4
942,"Single-family Detached",4
1079,"Townhouse End Unit",5
532,"Single-family Detached",4
375,"Single-family Detached",4
547,"Single-family Detached",4
423,"Single-family Detached",4
1074,"Single-family Detached",4
1388,"Single-family Detached",4
1185,"Single-family Detached",4
1117,"Single-family Detached",4
430,"Single-family Detached",4
329,"Single-family Detached",4
1127,"Townhouse End Unit",5
967,"Single-family Detached",4
81,"Single-family Detached",4
1353,"Single-family Detached",4
721,"Single-family Detached",4
290,"Single-family Detached",4
129,"Single-family Detached",4
955,"Duplex",2
761,"Single-family Detached",4
365,"Single-family Detached",4
203,"Single-family Detached",4
635,"Duplex",2
1367,"Single-family Detached",4
478,"Single-family Detached",4
1226,"Single-family Detached",4
1208,"Single-family Detached",4
686,"Townhouse End Unit",5
1095,"Single-family Detached",4
977,"Single-family Detached",4
944,"Duplex",2
636,"Two-family Conversion; originally built as one-family dwelling",3
289,"Single-family Detached",4
852,"Townhouse End Unit",5
926,"Single-family Detached",4
432,"Single-family Detached",4
135,"Single-family Detached",4
209,"Single-family Detached",4
123,"Single-family Detached",4
177,"Single-family Detached",4
803,"Single-family Detached",4
426,"Single-family Detached",4
272,"Single-family Detached",4
1165,"Single-family Detached",4
699,"Single-family Detached",4
1457,"Single-family Detached",4
939,"Single-family Detached",4
896,"Single-family Detached",4
418,"Single-family Detached",4
1056,"Single-family Detached",4
1435,"Single-family Detached",4
166,"Two-family Conversion; originally built as one-family dwelling",3
483,"Single-family Detached",4
1193,"Single-family Detached",4
186,"Single-family Detached",4
428,"Single-family Detached",4
278,"Single-family Detached",4
644,"Single-family Detached",4
336,"Two-family Conversion; originally built as one-family dwelling",3
207,"Single-family Detached",4
429,"Single-family Detached",4
883,"Single-family Detached",4
769,"Single-family Detached",4
1133,"Single-family Detached",4
757,"Single-family Detached",4
189,"Duplex",2
128,"Single-family Detached",4
303,"Single-family Detached",4
502,"Single-family Detached",4
1318,"Townhouse End Unit",5
30,"Single-family Detached",4
438,"Single-family Detached",4
1054,"Single-family Detached",4
654,"Single-family Detached",4
513,"Single-family Detached",4
1027,"Single-family Detached",4
112,"Single-family Detached",4
1005,"Townhouse End Unit",5
1448,"Single-family Detached",4
377,"Single-family Detached",4
1,"Single-family Detached",4
779,"Duplex",2
1199,"Single-family Detached",4
84,"Single-family Detached",4
1223,"Single-family Detached",4
806,"Single-family Detached",4
459,"Single-family Detached",4
205,"Single-family Detached",4
1296,"Single-family Detached",4
598,"Townhouse End Unit",5
555,"Single-family Detached",4
1049,"Single-family Detached",4
1342,"Single-family Detached",4
1033,"Single-family Detached",4
586,"Single-family Detached",4
236,"Townhouse End Unit",5
1375,"Single-family Detached",4
1259,"Single-family Detached",4
326,"Single-family Detached",4
1418,"Single-family Detached",4
1368,"Townhouse End Unit",5
33,"Single-family Detached",4
1141,"Single-family Detached",4
1063,"Two-family Conversion; originally built as one-family dwelling",3
1281,"Single-family Detached",4
369,"Single-family Detached",4
725,"Single-family Detached",4
1215,"Single-family Detached",4
888,"Single-family Detached",4
928,"Single-family Detached",4
460,"Single-family Detached",4
597,"Single-family Detached",4
1216,"Single-family Detached",4
104,"Single-family Detached",4
39,"Single-family Detached",4
848,"Single-family Detached",4
331,"Duplex",2
1130,"Duplex",2
625,"Single-family Detached",4
323,"Single-family Detached",4
1228,"Single-family Detached",4
1110,"Single-family Detached",4
667,"Single-family Detached",4
645,"Single-family Detached",4
572,"Single-family Detached",4
526,"Single-family Detached",4
402,"Single-family Detached",4
422,"Single-family Detached",4
1443,"Single-family Detached",4
165,"Single-family Detached",4
195,"Single-family Detached",4
1160,"Single-family Detached",4
281,"Single-family Detached",4
219,"Single-family Detached",4
155,"Single-family Detached",4
540,"Single-family Detached",4
1299,"Single-family Detached",4
1352,"Single-family Detached",4
651,"Single-family Detached",4
1238,"Single-family Detached",4
566,"Single-family Detached",4
592,"Single-family Detached",4
550,"Single-family Detached",4
442,"Duplex",2
259,"Single-family Detached",4
670,"Single-family Detached",4
1245,"Single-family Detached",4
910,"Single-family Detached",4
153,"Single-family Detached",4
11,"Single-family Detached",4
38,"Single-family Detached",4
755,"Single-family Detached",4
407,"Single-family Detached",4
1424,"Single-family Detached",4
676,"Townhouse Inside Unit",1
1397,"Single-family Detached",4
226,"Townhouse Inside Unit",1
111,"Single-family Detached",4
768,"Single-family Detached",4
709,"Single-family Detached",4
936,"Single-family Detached",4
145,"Duplex",2
1330,"Single-family Detached",4
1451,"Duplex",2
974,"Single-family Detached",4
789,"Single-family Detached",4
542,"Single-family Detached",4
1089,"Townhouse Inside Unit",1
857,"Single-family Detached",4
224,"Single-family Detached",4
962,"Single-family Detached",4
1059,"Single-family Detached",4
1373,"Single-family Detached",4
355,"Single-family Detached",4
1176,"Single-family Detached",4
50,"Single-family Detached",4
680,"Single-family Detached",4
227,"Single-family Detached",4
491,"Townhouse End Unit",5
244,"Townhouse End Unit",5
409,"Single-family Detached",4
1162,"Single-family Detached",4
753,"Single-family Detached",4
1173,"Townhouse End Unit",5
710,"Single-family Detached",4
59,"Single-family Detached",4
898,"Duplex",2
822,"Two-family Conversion; originally built as one-family dwelling",3
69,"Single-family Detached",4
70,"Single-family Detached",4
675,"Single-family Detached",4
296,"Single-family Detached",4
1349,"Single-family Detached",4
1032,"Single-family Detached",4
347,"Single-family Detached",4
983,"Single-family Detached",4
543,"Single-family Detached",4
745,"Townhouse End Unit",5
1246,"Single-family Detached",4
931,"Single-family Detached",4
594,"Townhouse End Unit",5
564,"Single-family Detached",4
1140,"Single-family Detached",4
315,"Single-family Detached",4
297,"Single-family Detached",4
1339,"Single-family Detached",4
1320,"Single-family Detached",4
471,"Townhouse End Unit",5
41,"Single-family Detached",4
1363,"Single-family Detached",4
340,"Single-family Detached",4
174,"Single-family Detached",4
34,"Single-family Detached",4
1337,"Duplex",2
1391,"Single-family Detached",4
344,"Townhouse End Unit",5
791,"Townhouse End Unit",5
975,"Single-family Detached",4
276,"Single-family Detached",4
461,"Single-family Detached",4
1415,"Single-family Detached",4
777,"Single-family Detached",4
210,"Single-family Detached",4
763,"Single-family Detached",4
1083,"Single-family Detached",4
776,"Townhouse End Unit",5
304,"Single-family Detached",4
284,"Single-family Detached",4
894,"Single-family Detached",4
308,"Single-family Detached",4
529,"Single-family Detached",4
265,"Single-family Detached",4
1331,"Single-family Detached",4
813,"Single-family Detached",4
190,"Townhouse End Unit",5
627,"Single-family Detached",4
1261,"Single-family Detached",4
62,"Single-family Detached",4
764,"Single-family Detached",4
724,"Single-family Detached",4
234,"Single-family Detached",4
287,"Single-family Detached",4
1285,"Single-family Detached",4
523,"Single-family Detached",4
1445,"Single-family Detached",4
659,"Single-family Detached",4
1257,"Single-family Detached",4
743,"Single-family Detached",4
204,"Townhouse End Unit",5
213,"Single-family Detached",4
302,"Single-family Detached",4
876,"Single-family Detached",4
1144,"Single-family Detached",4
600,"Townhouse Inside Unit",1
403,"Single-family Detached",4
818,"Single-family Detached",4
715,"Single-family Detached",4
917,"Single-family Detached",4
1189,"Single-family Detached",4
279,"Single-family Detached",4
1155,"Single-family Detached",4
790,"Single-family Detached",4
672,"Single-family Detached",4
113,"Single-family Detached",4
484,"Townhouse Inside Unit",1
274,"Single-family Detached",4
599,"Single-family Detached",4
1237,"Townhouse Inside Unit",1
1048,"Single-family Detached",4
1366,"Single-family Detached",4
530,"Single-family Detached",4
1383,"Single-family Detached",4
767,"Single-family Detached",4
1131,"Single-family Detached",4
618,"Single-family Detached",4
691,"Townhouse End Unit",5
783,"Single-family Detached",4
390,"Single-family Detached",4
298,"Single-family Detached",4
1277,"Single-family Detached",4
92,"Single-family Detached",4
5,"Single-family Detached",4
255,"Single-family Detached",4
622,"Single-family Detached",4
760,"Single-family Detached",4
588,"Single-family Detached",4
1411,"Single-family Detached",4
268,"Single-family Detached",4
154,"Single-family Detached",4
563,"Single-family Detached",4
1390,"Single-family Detached",4
147,"Single-family Detached",4
1241,"Single-family Detached",4
794,"Single-family Detached",4
217,"Single-family Detached",4
194,"Townhouse Inside Unit",1
1268,"Single-family Detached",4
669,"Single-family Detached",4
72,"Single-family Detached",4
979,"Single-family Detached",4
619,"Single-family Detached",4
180,"Single-family Detached",4
1023,"Single-family Detached",4
631,"Single-family Detached",4
496,"Single-family Detached",4
306,"Single-family Detached",4
105,"Single-family Detached",4
685,"Single-family Detached",4
781,"Single-family Detached",4
536,"Two-family Conversion; originally built as one-family dwelling",3
1293,"Single-family Detached",4
1253,"Single-family Detached",4
859,"Single-family Detached",4
48,"Single-family Detached",4
656,"Townhouse Inside Unit",1
384,"Single-family Detached",4
148,"Single-family Detached",4
40,"Duplex",2
865,"Single-family Detached",4
1174,"Single-family Detached",4
954,"Single-family Detached",4
541,"Single-family Detached",4
901,"Single-family Detached",4
890,"Single-family Detached",4
1091,"Duplex",2
830,"Townhouse Inside Unit",1
371,"Single-family Detached",4
1381,"Single-family Detached",4
1408,"Single-family Detached",4
577,"Single-family Detached",4
54,"Single-family Detached",4
233,"Townhouse Inside Unit",1
1297,"Single-family Detached",4
1166,"Single-family Detached",4
617,"Single-family Detached",4
904,"Single-family Detached",4
66,"Single-family Detached",4
932,"Single-family Detached",4
1294,"Single-family Detached",4
175,"Single-family Detached",4
1419,"Single-family Detached",4
1360,"Single-family Detached",4
1057,"Townhouse End Unit",5
889,"Single-family Detached",4
170,"Single-family Detached",4
1328,"Single-family Detached",4
1020,"Townhouse End Unit",5
311,"Single-family Detached",4
96,"Single-family Detached",4
78,"Single-family Detached",4
36,"Single-family Detached",4
1021,"Single-family Detached",4
668,"Single-family Detached",4
950,"Single-family Detached",4
716,"Single-family Detached",4
643,"Single-family Detached",4
510,"Single-family Detached",4
1447,"Single-family Detached",4
1205,"Single-family Detached",4
778,"Single-family Detached",4
874,"Single-family Detached",4
494,"Single-family Detached",4
354,"Single-family Detached",4
980,"Single-family Detached",4
795,"Single-family Detached",4
853,"Single-family Detached",4
1341,"Single-family Detached",4
585,"Single-family Detached",4
587,"Single-family Detached",4
43,"Single-family Detached",4
119,"Single-family Detached",4
398,"Single-family Detached",4
1180,"Single-family Detached",4
27,"Single-family Detached",4
349,"Townhouse Inside Unit",1
1262,"Single-family Detached",4
1335,"Townhouse End Unit",5
1323,"Single-family Detached",4
533,"Single-family Detached",4
828,"Single-family Detached",4
1433,"Single-family Detached",4
1414,"Single-family Detached",4
1066,"Single-family Detached",4
1444,"Single-family Detached",4
1290,"Single-family Detached",4
1058,"Single-family Detached",4
902,"Single-family Detached",4
1068,"Single-family Detached",4
499,"Single-family Detached",4
395,"Single-family Detached",4
102,"Single-family Detached",4
653,"Single-family Detached",4
307,"Single-family Detached",4
136,"Single-family Detached",4
1112,"Single-family Detached",4
1067,"Single-family Detached",4
1109,"Single-family Detached",4
700,"Townhouse End Unit",5
46,"Townhouse End Unit",5
1271,"Single-family Detached",4
1400,"Single-family Detached",4
318,"Single-family Detached",4
1113,"Single-family Detached",4
1389,"Single-family Detached",4
497,"Single-family Detached",4
569,"Single-family Detached",4
1260,"Single-family Detached",4
596,"Single-family Detached",4
446,"Single-family Detached",4
101,"Single-family Detached",4
262,"Single-family Detached",4
708,"Townhouse End Unit",5
1101,"Single-family Detached",4
1431,"Single-family Detached",4
620,"Single-family Detached",4
899,"Single-family Detached",4
1269,"Single-family Detached",4
884,"Single-family Detached",4
727,"Single-family Detached",4
730,"Single-family Detached",4
1206,"Single-family Detached",4
1386,"Single-family Detached",4
1072,"Single-family Detached",4
386,"Townhouse End Unit",5
1407,"Single-family Detached",4
991,"Single-family Detached",4
953,"Single-family Detached",4
802,"Single-family Detached",4
367,"Single-family Detached",4
193,"Single-family Detached",4
969,"Single-family Detached",4
504,"Single-family Detached",4
841,"Single-family Detached",4
1410,"Single-family Detached",4
821,"Single-family Detached",4
1234,"Single-family Detached",4
1356,"Single-family Detached",4
773,"Single-family Detached",4
250,"Single-family Detached",4
752,"Single-family Detached",4
300,"Single-family Detached",4
546,"Single-family Detached",4
19,"Single-family Detached",4
1026,"Single-family Detached",4
28,"Single-family Detached",4
1291,"Single-family Detached",4
361,"Single-family Detached",4
171,"Single-family Detached",4
68,"Single-family Detached",4
1280,"Single-family Detached",4
85,"Single-family Detached",4
425,"Single-family Detached",4
880,"Single-family Detached",4
258,"Single-family Detached",4
1168,"Single-family Detached",4
750,"Single-family Detached",4
89,"Single-family Detached",4
909,"Single-family Detached",4
1359,"Townhouse Inside Unit",1
855,"Single-family Detached",4
1387,"Single-family Detached",4
127,"Townhouse End Unit",5
590,"Single-family Detached",4
383,"Single-family Detached",4
1217,"Duplex",2
582,"Single-family Detached",4
527,"Single-family Detached",4
728,"Single-family Detached",4
1011,"Single-family Detached",4
682,"Single-family Detached",4
537,"Single-family Detached",4
665,"Single-family Detached",4
689,"Single-family Detached",4
480,"Single-family Detached",4
188,"Single-family Detached",4
100,"Single-family Detached",4
370,"Single-family Detached",4
356,"Single-family Detached",4
829,"Single-family Detached",4
679,"Single-family Detached",4
6,"Single-family Detached",4
804,"Single-family Detached",4
1423,"Townhouse End Unit",5
132,"Single-family Detached",4
671,"Single-family Detached",4
690,"Townhouse End Unit",5
295,"Single-family Detached",4
218,"Single-family Detached",4
1350,"Single-family Detached",4
602,"Single-family Detached",4
187,"Single-family Detached",4
808,"Single-family Detached",4
614,"Single-family Detached",4
658,"Single-family Detached",4
663,"Single-family Detached",4
110,"Single-family Detached",4
937,"Single-family Detached",4
1426,"Single-family Detached",4
1235,"Single-family Detached",4
583,"Duplex",2
1248,"Single-family Detached",4
1283,"Single-family Detached",4
1203,"Single-family Detached",4
846,"Single-family Detached",4
247,"Two-family Conversion; originally built as one-family dwelling",3
774,"Single-family Detached",4
14,"Single-family Detached",4
462,"Single-family Detached",4
1346,"Single-family Detached",4
13,"Single-family Detached",4
604,"Townhouse End Unit",5
12,"Single-family Detached",4
1361,"Single-family Detached",4
714,"Two-family Conversion; originally built as one-family dwelling",3
343,"Duplex",2
1116,"Single-family Detached",4
198,"Single-family Detached",4
1202,"Single-family Detached",4
688,"Townhouse End Unit",5
1135,"Single-family Detached",4
1254,"Single-family Detached",4
382,"Single-family Detached",4
327,"Townhouse End Unit",5
655,"Single-family Detached",4
1065,"Single-family Detached",4
531,"Single-family Detached",4
1372,"Single-family Detached",4
1332,"Single-family Detached",4
915,"Townhouse End Unit",5
1093,"Single-family Detached",4
1190,"Single-family Detached",4
650,"Townhouse Inside Unit",1
863,"Single-family Detached",4
405,"Single-family Detached",4
45,"Single-family Detached",4
1169,"Single-family Detached",4
310,"Single-family Detached",4
317,"Single-family Detached",4
912,"Single-family Detached",4
819,"Single-family Detached",4
919,"Single-family Detached",4
809,"Single-family Detached",4
984,"Single-family Detached",4
1149,"Single-family Detached",4
376,"Single-family Detached",4
605,"Single-family Detached",4
163,"Single-family Detached",4
1164,"Duplex",2
7,"Single-family Detached",4
333,"Single-family Detached",4
1107,"Single-family Detached",4
489,"Two-family Conversion; originally built as one-family dwelling",3
294,"Single-family Detached",4
1255,"Single-family Detached",4
372,"Single-family Detached",4
158,"Single-family Detached",4
872,"Single-family Detached",4
505,"Townhouse End Unit",5
468,"Single-family Detached",4
157,"Single-family Detached",4
1163,"Single-family Detached",4
37,"Single-family Detached",4
1298,"Townhouse End Unit",5
1094,"Single-family Detached",4
551,"Townhouse End Unit",5
1071,"Single-family Detached",4
1219,"Single-family Detached",4
1009,"Single-family Detached",4
964,"Single-family Detached",4
1266,"Townhouse End Unit",5
946,"Single-family Detached",4
305,"Single-family Detached",4
660,"Single-family Detached",4
1214,"Single-family Detached",4
473,"Townhouse End Unit",5
469,"Single-family Detached",4
74,"Single-family Detached",4
172,"Single-family Detached",4
1034,"Single-family Detached",4
358,"Townhouse End Unit",5
1289,"Townhouse End Unit",5
256,"Single-family Detached",4
521,"Two-family Conversion; originally built as one-family dwelling",3
142,"Single-family Detached",4
181,"Townhouse Inside Unit",1
1024,"Townhouse End Unit",5
615,"Townhouse End Unit",5
518,"Single-family Detached",4
568,"Single-family Detached",4
1051,"Single-family Detached",4
245,"Single-family Detached",4
21,"Single-family Detached",4
3,"Single-family Detached",4
1309,"Single-family Detached",4
662,"Single-family Detached",4
58,"Single-family Detached",4
225,"Single-family Detached",4
1288,"Single-family Detached",4
267,"Single-family Detached",4
482,"Single-family Detached",4
1194,"Townhouse End Unit",5
820,"Townhouse End Unit",5
519,"Single-family Detached",4
1016,"Single-family Detached",4
1128,"Single-family Detached",4
125,"Single-family Detached",4
831,"Single-family Detached",4
782,"Single-family Detached",4
254,"Single-family Detached",4
1455,"Single-family Detached",4
1456,"Single-family Detached",4
771,"Single-family Detached",4
31,"Single-family Detached",4
1096,"Single-family Detached",4
554,"Single-family Detached",4
982,"Single-family Detached",4
707,"Single-family Detached",4
683,"Single-family Detached",4
1090,"Townhouse End Unit",5
628,"Single-family Detached",4
161,"Single-family Detached",4
579,"Townhouse End Unit",5
319,"Single-family Detached",4
301,"Two-family Conversion; originally built as one-family dwelling",3
1322,"Single-family Detached",4
687,"Single-family Detached",4
477,"Single-family Detached",4
1314,"Single-family Detached",4
1134,"Single-family Detached",4
608,"Single-family Detached",4
106,"Single-family Detached",4
32,"Single-family Detached",4
639,"Single-family Detached",4
495,"Single-family Detached",4
487,"Single-family Detached",4
1120,"Single-family Detached",4
1004,"Duplex",2
309,"Single-family Detached",4
1126,"Single-family Detached",4
263,"Single-family Detached",4
933,"Single-family Detached",4
520,"Single-family Detached",4
1157,"Single-family Detached",4
1000,"Single-family Detached",4
26,"Single-family Detached",4
115,"Single-family Detached",4
1263,"Single-family Detached",4
677,"Single-family Detached",4
1376,"Single-family Detached",4
512,"Townhouse End Unit",5
666,"Single-family Detached",4
634,"Single-family Detached",4
1239,"Single-family Detached",4
98,"Single-family Detached",4
1351,"Duplex",2
1030,"Townhouse Inside Unit",1
1031,"Two-family Conversion; originally built as one-family dwelling",3
981,"Single-family Detached",4
440,"Single-family Detached",4
124,"Townhouse End Unit",5
1099,"Single-family Detached",4
451,"Single-family Detached",4
823,"Single-family Detached",4
560,"Townhouse End Unit",5
73,"Single-family Detached",4
215,"Single-family Detached",4
827,"Single-family Detached",4
169,"Single-family Detached",4
335,"Single-family Detached",4
1427,"Single-family Detached",4
466,"Townhouse End Unit",5
1178,"Single-family Detached",4
1224,"Single-family Detached",4
1080,"Single-family Detached",4
632,"Townhouse Inside Unit",1
1124,"Single-family Detached",4
1062,"Single-family Detached",4
56,"Single-family Detached",4
595,"Single-family Detached",4
464,"Single-family Detached",4
253,"Single-family Detached",4
571,"Duplex",2
626,"Single-family Detached",4
2,"Single-family Detached",4
156,"Single-family Detached",4
1430,"Single-family Detached",4
352,"Single-family Detached",4
1393,"Single-family Detached",4
947,"Single-family Detached",4
732,"Single-family Detached",4
1118,"Single-family Detached",4
713,"Townhouse End Unit",5
616,"Single-family Detached",4
488,"Single-family Detached",4
1148,"Single-family Detached",4
381,"Single-family Detached",4
246,"Single-family Detached",4
1076,"Single-family Detached",4
698,"Single-family Detached",4
1439,"Single-family Detached",4
609,"Single-family Detached",4
1403,"Single-family Detached",4
1119,"Single-family Detached",4
159,"Single-family Detached",4
507,"Single-family Detached",4
1081,"Single-family Detached",4
525,"Single-family Detached",4
293,"Single-family Detached",4
90,"Single-family Detached",4
1311,"Single-family Detached",4
184,"Single-family Detached",4
1434,"Single-family Detached",4
994,"Single-family Detached",4
817,"Single-family Detached",4
470,"Single-family Detached",4
444,"Townhouse End Unit",5
95,"Single-family Detached",4
1256,"Single-family Detached",4
1440,"Single-family Detached",4
633,"Single-family Detached",4
638,"Two-family Conversion; originally built as one-family dwelling",3
348,"Single-family Detached",4
673,"Single-family Detached",4
652,"Single-family Detached",4
20,"Single-family Detached",4
927,"Single-family Detached",4
1195,"Single-family Detached",4
1010,"Single-family Detached",4
109,"Single-family Detached",4
1046,"Single-family Detached",4
286,"Townhouse End Unit",5
176,"Single-family Detached",4
427,"Single-family Detached",4
