"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","lotfrontage_meannorm","lotarea_meannorm","garagearea_meannorm","grlivarea_meannorm","totalbsmtsf_meannorm","saleprice_meannorm"
250,"1-1/2 STORY FINISHED ALL AGES","Moderately Irregular","Depression","Severe Slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",0,159000,389,2144,1444,277000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
750,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Fair",50,8405,240,1529,0,98000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
724,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Above Average",60,8172,548,1470,941,135000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
712,"1-1/2 STORY FINISHED ALL AGES","Regular","Hillside - Significant slope from side to side","Moderate Slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Good",66,8712,384,1178,859,102776,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
861,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Very Good",55,7642,216,1426,912,189950,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
849,"1-1/2 STORY FINISHED ALL AGES","Moderately Irregular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Very Good",75,45600,360,2358,907,240000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
845,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good",100,12665,720,1416,876,153900,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
840,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",70,11767,240,1200,768,130500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1256,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",52,6240,560,1367,884,127500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1223,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",78,10496,315,1846,1040,143000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
824,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",60,9900,240,1489,778,139500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1301,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average",0,10762,490,1983,978,225000,"0.07149109370213138435","-0.00129392171909500573","0.28562754796452653745","0.10974685406365166046","-0.00448927202206129632","0.13134120831771842938"
1385,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",60,9060,280,1258,560,105000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
815,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good",45,8248,280,1250,686,116000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1400,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",51,6171,216,1608,976,137450,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
800,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good",60,7200,240,1768,731,175000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
240,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Below Average",52,8741,220,1487,735,113000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
419,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,8160,240,1134,756,126000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1371,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Above Average",90,5400,338,1374,840,105000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1138,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good",54,6342,0,1020,780,94000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
407,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",51,10480,240,1639,1064,115000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1363,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Below Average",0,12513,368,1738,715,104900,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
395,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,10134,240,1034,735,109000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
346,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",65,6435,312,1577,972,140200,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1354,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Very Good","Average",56,14720,666,3238,2033,410000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1353,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Excellent",50,6000,624,1176,698,134900,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
391,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good",50,8405,384,1367,861,119000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
387,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Fair",58,8410,0,1184,658,81000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
353,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,9084,200,1111,616,95000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
355,"1-1/2 STORY FINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",60,8400,240,1595,940,140000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1137,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",80,9600,288,1252,1032,119000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
381,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",50,5000,308,1691,1026,127000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
372,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Below Average",80,17120,680,1588,0,134432,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
362,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",0,9144,240,1505,883,145000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1131,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Fair",65,7804,576,1981,1122,135000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1399,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Below Average",60,7200,240,1904,1208,138000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
143,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Below Average",71,8520,720,1385,910,166000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1344,"1-1/2 STORY FINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",57,7558,342,1913,896,177000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1099,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Above Average",50,6000,240,1324,672,128000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
150,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Below Average",0,6240,240,1344,896,115000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1334,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,7200,297,1360,803,125500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1329,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",60,10440,520,2792,1510,256000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1093,"1-1/2 STORY FINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",60,8400,576,1694,1181,136500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
156,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Average",60,9600,0,1096,572,79000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1077,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good",60,10800,566,1466,796,170000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1073,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Fair",50,7585,280,1456,810,91500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
70,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Below Average",81,15593,667,2287,1304,225000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1060,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Hillside - Significant slope from side to side","Moderate Slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",0,11275,432,1991,854,220000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1405,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Fair","Below Average",60,10410,936,1214,672,105000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1029,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",79,9492,240,1376,768,105000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1390,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",60,6000,440,1218,735,131000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
171,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",0,12358,660,1382,720,128500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1023,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",52,9439,160,1248,912,87000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1388,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",60,8520,216,2526,714,136000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
178,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",0,13650,451,1920,1052,172500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1428,"1-1/2 STORY FINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",60,10930,288,1558,913,140000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1011,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",115,21286,312,1271,720,135000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1010,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",60,6000,0,1522,1008,102000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
184,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average",63,11426,484,2082,1362,200000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
185,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Very Good",92,7438,576,1252,504,127000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
188,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good",60,10410,180,1656,660,135000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
996,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Moderate Slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Good",51,4712,305,1230,747,121600,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
987,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Very Good",59,5310,255,1635,485,117000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
971,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Below Average","Below Average",60,10800,0,1192,720,135000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
78,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",50,8635,240,1285,672,127000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
969,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Fair","Above Average",50,5925,0,968,600,37900,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1286,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Above Average",50,6000,280,1412,780,132500,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
967,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Hillside - Significant slope from side to side","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Good",130,9600,256,1308,728,160000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
946,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Above Average",98,8820,456,1869,1088,124900,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
1285,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Above Average","Good",50,9638,336,2447,804,169000,"0.01717799466059783802","-0.02578619777135142677","-0.08531744498328728484","-0.01421697412022173819","-0.08468567136739681187","-0.14153755852022074573"
